poverty_group,category,population,mean_distance_m
Lowest poverty,Arts Creation,276604.5,3166.9704668145214
Lowest poverty,Books Reading,276604.5,359.70388084408955
Lowest poverty,Cinema,276604.5,859.8351559906051
Lowest poverty,Culture,276604.5,158.16396376905965
Lowest poverty,Education Archives,276604.5,660.7583566414522
Lowest poverty,Heritage,276604.5,250.08306017362435
Lowest poverty,Museum,276604.5,865.2848083921078
Lowest poverty,Parks Gardens,276604.5,3019.065243089173
Lowest poverty,Performing Arts,276604.5,741.0724377499406
Lowest poverty,Press Stationery,276604.5,319.1793952811768
Low-medium,Arts Creation,433762.5,3101.5878112763694
Low-medium,Books Reading,433762.5,210.31982863099026
Low-medium,Cinema,433762.5,697.0029972638157
Low-medium,Culture,433762.5,112.77263248995469
Low-medium,Education Archives,433762.5,540.4782943495277
Low-medium,Heritage,433762.5,197.84618300350093
Low-medium,Museum,433762.5,806.194592261893
Low-medium,Parks Gardens,433762.5,2989.350276374657
Low-medium,Performing Arts,433762.5,650.2436435226596
Low-medium,Press Stationery,433762.5,204.8041409673493
Middle,Arts Creation,461156,3220.1986936551907
Middle,Books Reading,461156,201.96580927874203
Middle,Cinema,461156,661.3890284578544
Middle,Culture,461156,106.70274465328396
Middle,Education Archives,461156,567.6892694940191
Middle,Heritage,461156,195.314355532038
Middle,Museum,461156,817.0807779255456
Middle,Parks Gardens,461156,2940.664958033364
Middle,Performing Arts,461156,603.9300503028585
Middle,Press Stationery,461156,199.53220718180197
High-medium,Arts Creation,455218.5,2779.989698582427
High-medium,Books Reading,455218.5,223.55529006085797
High-medium,Cinema,455218.5,734.263897199642
High-medium,Culture,455218.5,121.36750370320382
High-medium,Education Archives,455218.5,525.0336728471277
High-medium,Heritage,455218.5,207.0131301118363
High-medium,Museum,455218.5,910.0074803366971
High-medium,Parks Gardens,455218.5,3150.9262594814777
High-medium,Performing Arts,455218.5,571.3949483538354
High-medium,Press Stationery,455218.5,219.52091546734974
Highest poverty,Arts Creation,426419.5,2298.4917405581355
Highest poverty,Books Reading,426419.5,290.84124982999435
Highest poverty,Cinema,426419.5,869.4789373527453
Highest poverty,Culture,426419.5,154.31712841405985
Highest poverty,Education Archives,426419.5,597.8203735201445
Highest poverty,Heritage,426419.5,309.80782954787776
Highest poverty,Museum,426419.5,1043.8557196898112
Highest poverty,Parks Gardens,426419.5,3846.9738507898965
Highest poverty,Performing Arts,426419.5,560.4039178203371
Highest poverty,Press Stationery,426419.5,296.0809223323933
